track_name;artists;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;track_genre
Aman Aman;Duman;0.512;0.854;2;-5.432;0.034;0.012;0.001;0.123;0.456;124.0;rock
Felaket;Ezhel;0.784;0.652;5;-7.123;0.156;0.234;0.000;0.111;0.821;95.0;trap
Olsun;Sertab Erener;0.412;0.342;1;-12.451;0.041;0.854;0.000;0.098;0.212;82.0;pop
Antidepresan;Mabel Matiz;0.632;0.512;7;-8.432;0.054;0.432;0.002;0.142;0.543;118.0;pop
Bir Derdim Var;mor ve �tesi;0.452;0.812;4;-6.123;0.038;0.005;0.015;0.212;0.342;132.0;rock
Geceler;Ezhel;0.821;0.712;1;-6.432;0.212;0.123;0.000;0.312;0.754;140.0;trap
Seni Dert Etmeler;Madrigal;0.684;0.612;9;-7.843;0.042;0.321;0.012;0.112;0.612;110.0;indie
Fesupanallah;Erkin Koray;0.712;0.743;0;-9.123;0.051;0.412;0.054;0.234;0.892;126.0;anatoly-rock
Ele G�ne Kar��;MF�;0.754;0.812;2;-5.432;0.045;0.212;0.000;0.154;0.912;122.0;pop
Parampar�a;Teoman;0.482;0.584;5;-8.123;0.032;0.142;0.005;0.112;0.312;128.0;rock
Yaln�zl�k Senfonisi;Sertab Erener;0.380;0.290;3;-14.000;0.030;0.910;0.000;0.100;0.150;75.0;ballad
Cevaps�z Sorular;maNga;0.550;0.780;2;-6.200;0.040;0.010;0.050;0.200;0.400;128.0;rock
Papatya;Teoman;0.620;0.550;0;-8.500;0.030;0.200;0.000;0.120;0.480;115.0;pop
Cambaz;maNga;0.680;0.920;4;-4.800;0.060;0.002;0.100;0.350;0.700;145.0;rock
A�k�n Olay�m;Simge;0.720;0.680;8;-6.900;0.050;0.250;0.000;0.130;0.620;112.0;pop
Ben �yle Birini Sevdim Ki;Y�zy�zeyken Konu�uruz;0.640;0.420;1;-9.200;0.035;0.680;0.020;0.100;0.390;105.0;indie
Dinle Beni Bi;Y�zy�zeyken Konu�uruz;0.610;0.590;6;-8.100;0.040;0.340;0.005;0.110;0.550;118.0;indie
Dip;Madrigal;0.710;0.630;7;-7.400;0.038;0.280;0.010;0.105;0.680;116.0;indie
Bodrum;Kenan Do�ulu;0.740;0.790;2;-5.900;0.055;0.180;0.000;0.140;0.850;126.0;pop
Dudu;Tarkan;0.810;0.880;1;-4.200;0.060;0.120;0.001;0.250;0.940;130.0;pop
Kuzu Kuzu;Tarkan;0.780;0.840;4;-5.100;0.058;0.150;0.000;0.210;0.890;128.0;pop
G�lpembe;Bar�� Man�o;0.520;0.610;9;-10.200;0.032;0.450;0.050;0.110;0.420;114.0;anatoly-rock
D�nence;Bar�� Man�o;0.650;0.720;1;-8.500;0.040;0.320;0.150;0.120;0.550;122.0;anatoly-rock
Beni Kendinden Kurtar;Perdenin Ard�ndakiler;0.580;0.410;2;-11.200;0.042;0.720;0.015;0.095;0.320;92.0;indie
Mevzum Derin;Irmak Ar�c�;0.690;0.540;6;-8.800;0.048;0.380;0.000;0.100;0.450;108.0;pop
Galaksi;Ece Se�kin;0.840;0.820;1;-4.500;0.065;0.080;0.000;0.150;0.920;124.0;pop
Bilmem Mi;Sefo;0.860;0.740;4;-6.200;0.180;0.150;0.000;0.120;0.790;98.0;trap
Isabelle;Sefo;0.880;0.710;7;-5.800;0.210;0.110;0.000;0.100;0.840;102.0;trap
Bul Beni;Ezhel;0.810;0.690;2;-7.100;0.250;0.180;0.000;0.140;0.710;142.0;trap
